rank,score,retrieval,x,y,yaw,pitch,hfov,mpp,road,center_road,boundary_edge,bad,gps_dist,gps_prior,yaw_prior,pitch_prior,hfov_prior,mpp_prior,camera_prior,shape,out
61,3.9264739320263664,0.1444004774093628,230,498,178.49637547917985,5.0949215574043185,65.3289454115548,0.6136663514984156,0.8214460611343384,0.8412372469902039,0.7382262349128723,0.3197152018547058,0.0,1.0,0.9974152069780788,0.9988743712383542,0.8432776701014219,0.7769770072423933,0.8730430161940564,0.0,0.0
62,3.9263928695423798,0.17184136807918549,230,498,179.03563682303607,4.742835603881187,70.1885669582972,0.627313428025751,0.8241208791732788,0.8416178822517395,0.7280410528182983,0.3369159400463104,0.0,1.0,0.9999870410721706,0.9917673842989053,0.9997222456296279,0.7286393801581437,0.9067096700288922,0.0,0.0
63,3.9261685637888517,0.17184136807918549,230,498,178.62114663552478,5.003796806104498,72.0,0.6076785502392654,0.8193413615226746,0.8381236791610718,0.7245868444442749,0.3345806896686554,0.0,1.0,0.998536481460994,0.9999981980345491,0.9692332344763441,0.7973525099048276,0.9221946474719069,0.0,0.0
64,3.9257671066549267,0.1444004774093628,230,498,178.7675886271528,5.323616250996329,70.93217170797254,0.6179083205834187,0.819968044757843,0.83839350938797,0.7221162915229797,0.3227466940879822,0.0,1.0,0.999448977927344,0.9869943788635168,0.993234364937519,0.7622118798871864,0.9141468745627407,0.0,0.0
65,3.9257427836881273,0.17184136807918549,230,498,178.18762818504558,4.396438907972959,71.81367081990781,0.5845203666386828,0.8081223964691162,0.8390647768974304,0.7431281805038452,0.3500947654247284,0.0,1.0,0.9932884607471547,0.9554854443350748,0.9746289428086308,0.8697710683980995,0.9332951518472683,0.0,0.0
66,3.925677916584833,0.1444004774093628,230,498,178.5176790731,5.777539200929593,69.03152539541841,0.5940880285051227,0.8090269565582275,0.8332341909408569,0.7358635663986206,0.32973209023475647,0.0,1.0,0.997629004276267,0.9272139876906222,0.9926991018376123,0.8412204659201321,0.9203778518161222,0.0,0.0
67,3.9253237936281886,0.13793495297431946,230,498,179.38066269103712,4.561766950114894,69.89430783248811,0.6242940063855853,0.8240162134170532,0.8443335294723511,0.7265580296516418,0.3272300958633423,0.0,1.0,0.998522479504188,0.9762798269206021,0.999912731665342,0.7395315885093227,0.905241382365089,0.0,0.0
68,3.9252688153074424,0.17184136807918549,230,498,178.6460527603967,5.158785292853443,69.85931718848727,0.6295767012334469,0.8176952004432678,0.8403369188308716,0.7230579853057861,0.32647469639778137,0.0,1.0,0.9987224631905046,0.9968533649127103,0.9998453896607924,0.7204119624016972,0.9057035723250667,0.0,0.0
69,3.9251650792955797,0.14449140429496765,230,498,179.30651847373795,5.200932895061764,66.65984406988785,0.583801186872402,0.8158132433891296,0.8310467600822449,0.7386987209320068,0.34035640954971313,0.0,1.0,0.9990417494692,0.9949659599246755,0.9165292816434912,0.8718299230849661,0.9277750548843776,0.0,0.0
70,3.9250771459137965,0.17184136807918549,230,498,178.63953860284334,4.842570591293281,65.88202562506098,0.5980502982464408,0.8109914064407349,0.8285854458808899,0.7396968007087708,0.33027011156082153,0.0,1.0,0.9986750375303067,0.9969067915167947,0.8759185844919606,0.828804711815892,0.9005433626082158,0.0,0.0
71,3.924857714299281,0.1649695336818695,230,498,178.8386948524504,5.698644289639149,67.89505086985518,0.5962053338819124,0.8108477592468262,0.8280370831489563,0.7351124882698059,0.33103519678115845,0.0,1.0,0.9997345316651395,0.9408110275644295,0.9659765603699546,0.8346266118880392,0.9138047332741411,0.0,0.0
72,3.9247879559827923,0.17184136807918549,230,498,179.64497239637268,4.40959720840654,69.92859940338805,0.605298874392709,0.8176065683364868,0.8319217562675476,0.7393689751625061,0.342896968126297,0.0,1.0,0.9957642066709759,0.9573636864909503,0.9999601723150453,0.8052845160681649,0.9208694582913868,0.0,0.0
73,3.9244886958984955,0.1649695336818695,230,498,177.88351029217546,4.980288823617058,72.0,0.5836480167245643,0.807027280330658,0.8390828371047974,0.7373128533363342,0.3430682122707367,0.0,1.0,0.9873606654047079,0.9999514348700241,0.9692332344763441,0.8722667685287119,0.9471504792916935,0.0,0.0
74,3.924386196181472,0.17184136807918549,230,498,178.89976388201165,5.610077094542944,67.1015628939575,0.6025490976310116,0.8132762312889099,0.8315895199775696,0.734445333480835,0.33044856786727905,0.0,1.0,0.9998974819966626,0.9545414053475477,0.9364751190682559,0.8143241083624947,0.9017802109260994,0.0,0.0
75,3.924281432522435,0.15610791742801666,230,498,179.38897739781748,4.675492809442471,70.82209095231603,0.5772453008220033,0.8110206127166748,0.8208374977111816,0.7388249635696411,0.34851664304733276,0.0,1.0,0.9984572788113426,0.9869231403265201,0.9947339649498975,0.8899946964019041,0.9572172672261073,0.0,0.0
76,3.924075611033876,0.11020517349243164,230,498,178.86796520222555,5.361961786205031,69.63037649185317,0.6322855916432497,0.8220940232276917,0.8406919240951538,0.7284956574440002,0.31747254729270935,0.0,1.0,0.9998221261497627,0.9837563328287985,0.9989332136576882,0.7104997559540944,0.8977297674801937,0.0,0.0
77,3.9238736976302193,0.14521673321723938,230,498,178.62991046240722,5.390403413953822,69.6252831893782,0.5486779916397748,0.7959433794021606,0.7880222797393799,0.7457931637763977,0.3286587595939636,0.0,1.0,0.9986033612514372,0.9811284862688654,0.9989036273298993,0.9547743851708244,0.9782688329231964,0.0,0.013636350631713867
